rt_name,perplexity,avg_log_likelihood,molecular_weight,aromaticity,instability_index,isoelectric_point,helix,turn,sheet,gravy,arginine_r_charge,lysine_k_charge,aspartate_d_charge,glutamate_e_charge,native_net_charge,t40_raw,t45_raw,t50_raw,t55_raw,t60_raw,t65_raw,t70_raw,t75_raw,t80_raw,thermophilicity_num,clash_binary,triad_found_bin,D1_D2_dist,D2_D3_dist,triad_best_rmsd,n_hydrophobic_contacts,n_salt_bridges,n_hbonds,hydrophobic_per_res,salt_per_res,hbonds_per_res,pocket_hydrophobic,pocket_salt_bridges,pocket_hbonds,pocket_hydrophobic_per_res,pocket_hbonds_per_res,whole_hydrophobic_fraction,whole_mean_hydrophobicity,whole_std_hydrophobicity,yxdd_hydrophobic_fraction,yxdd_mean_hydrophobicity,hairpin_pass,best_confidence,best_s1_len,best_turn_len,best_s2_len,n_strands_total,n_hairpins_found,pct_E,pct_H,thumb_total_residues,thumb_surface_residues,thumb_surface_positive,thumb_surface_negative,thumb_surface_net_charge,thumb_charge_ratio,thumb_fident,thumb_charge_class_num,has_dgr_motif,ramachandran_favoured,ramachandran_allowed,ramachandran_outliers,g_factor_dihedrals,g_factor_covalent,g_factor_overall,camsol_score,camsol_mean_profile,camsol_min_profile,camsol_frac_poor,camsol_frac_good,sasa_total,sasa_avg,sasa_high_pct,sasa_medium_pct,sasa_low_pct,yxdd_y_is_strand,yxdd_x_is_turn,yxdd_d1_is_turn,yxdd_d2_is_strand,qg_motif_found,sp_motif_found,sp_s_is_helix,sp_p_is_helix,foldseek_best_TM,foldseek_best_LDDT,foldseek_best_fident,foldseek_TM_HIV1,foldseek_TM_MMLV,foldseek_TM_MMLVPE,foldseek_TM_Retron,foldseek_TM_LTRRetrotransposon,foldseek_TM_Group2Intron,foldseek_TM_Telomerase,rnaseH_dedd_found,rnaseH_dedd_rmsd,palm_rnaseH_contact_density,rnaseH_cterminal_helix_frac,palm_rnaseH_com_dist,palm_internal_rmsd,palm_contact_entropy,palm_plddt_mean,palm_plddt_cv,palm_charge_density_pos,palm_charge_density_neg
CaMV-RT,8.462363243103027,-2.135628461837769,78785.1575,0.0967741935483871,38.80029325513207,9.207777595520016,0.3343108504398827,0.2580645161290322,0.3651026392961876,-0.4670087976539589,27,75,34,47,21,0.4656,0.4951,0.3548,0.5784,0.5919,0.7861,0.7854,0.7201,0.3788,1,1,1.0,17.6487,3.844,10.887,313.0,30.0,865.0,0.459,0.044,1.268,16.0,0.0,12.0,0.696,0.522,0.3578,-0.467,3.1715,0.7368,1.8,1.0,0.818,3.0,4.0,3.0,30.0,7.0,25.7,33.0,87.0,55.0,11.0,6.0,5.0,1.833,0.252,1.0,0,86.4,11.5,2.1,-0.14,-0.92,-0.44,0.498119,0.0255359634678044,-2.567582514309269,0.1524926686217008,0.1495601173020528,2911.44,145.57,45.0,55.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.9014,0.7026,0.229,0.9014,0.8859,0.8711,0.7359,0.5774,0.6609,0.5473,1.0,11.760030585847176,0.0007438016528925,0.8,35.24545234762121,10.5157289661588,3.9467050068081857,0.9488429752066116,0.0396240889043366,0.1735537190082644,0.1074380165289256
DRG2-RT,3.685216188430786,-1.3043292760849,38790.8321,0.0833333333333333,51.28333333333332,10.23005275726318,0.3333333333333333,0.2261904761904762,0.3601190476190476,-0.2657738095238096,36,19,18,14,23,0.6287,0.5901,0.5363,0.4565,0.1982,0.1176,0.08559,0.0009921,0.000181,2,0,1.0,14.91,3.8574,9.586,193.0,11.0,582.0,0.574,0.0327,1.732,13.0,0.0,17.0,0.5,0.654,0.4107,-0.2658,3.2479,0.5909,0.6955,1.0,0.737,6.0,5.0,6.0,9.0,1.0,14.3,55.2,49.0,35.0,9.0,3.0,6.0,3.0,0.161,1.0,1,97.3,2.3,0.3,0.19,0.02,0.11,0.981695,-0.0424270290097804,-2.20011292831625,0.1369047619047619,0.1071428571428571,2448.75,122.44,25.0,50.0,25.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.9017,0.7327,0.18,0.6442,0.651,0.6326,0.7757,0.4873,0.9017,0.7475,1.0,6.478797318166558,0.0453719008264462,0.84,9.229370641481584,10.126162424825562,3.930437135958579,0.935785123966942,0.0248344955158383,0.1570247933884297,0.1157024793388429
Drg-RT,3.09935998916626,-1.1311956644058228,37903.0829,0.1131498470948012,31.130305810397548,9.49717617034912,0.3363914373088685,0.2262996941896024,0.3700305810397553,-0.3935779816513762,30,20,18,19,13,0.5744,0.4464,0.2869,0.2994,0.1324,0.1134,0.04143,0.00544,0.006399,0,0,1.0,5.5865,3.8276,0.1901,174.0,11.0,579.0,0.532,0.0336,1.771,9.0,0.0,13.0,0.391,0.565,0.3792,-0.3936,3.1332,0.5789,0.7053,1.0,0.77,6.0,3.0,6.0,9.0,1.0,16.3,56.1,44.0,37.0,6.0,7.0,-1.0,0.857,0.083,0.0,1,94.2,5.4,0.3,0.19,-0.34,-0.04,0.991933,0.0001630209862653,-1.796223566667306,0.1437308868501529,0.1651376146788991,2336.67,116.83,20.0,65.0,15.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.9064,0.7469,0.163,0.6285,0.6344,0.5911,0.7793,0.4928,0.9064,0.7458,1.0,8.130937302518573,0.0491735537190082,0.825,8.965724758073591,10.177940091504905,3.9260285924572154,0.9104958677685948,0.0339137835430331,0.1900826446280991,0.1157024793388429
Ec48-RT,9.456342697143556,-2.246685743331909,46802.923,0.0835380835380835,41.39164619164619,9.67130527496338,0.3464373464373464,0.2628992628992629,0.3636363636363636,-0.3845208845208845,26,47,23,23,27,0.06968,0.04422,0.0734,0.03698,0.04064,0.03794,0.01277,0.01038,0.00441,0,0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3735,-0.3845,3.2278,,,,,,,,,,,,,,,,,,,,0,0.0,100.0,0.0,,,,0.798993,0.0315387166245062,-2.437843689131926,0.1105651105651105,0.1154791154791154,2943.82,147.19,35.0,60.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.874,0.6618,0.159,0.6816,0.6685,0.7069,0.874,0.5034,0.782,0.606,1.0,7.370194630999543,0.0212132352941176,0.87,26.30767723860156,9.917564003283662,3.9186578099241336,0.9533823529411763,0.0383752976911403,0.1691176470588235,0.1617647058823529
Ec67-RT,9.759358406066896,-2.278226613998413,67232.90139999999,0.1058020477815699,27.124249146757677,9.460816001892091,0.3174061433447099,0.2815699658703071,0.3890784982935154,-0.4390784982935153,31,67,41,26,31,0.1441,0.1337,0.1362,0.09058,0.05974,0.02751,0.01825,0.01718,0.009707,0,0,1.0,8.4578,3.8425,4.8225,294.0,16.0,875.0,0.502,0.0273,1.493,3.0,0.0,11.0,0.158,0.579,0.3567,-0.4391,3.1564,0.4667,0.72,1.0,0.713,7.0,5.0,7.0,22.0,2.0,17.3,47.2,45.0,36.0,7.0,6.0,1.0,1.167,0.155,0.0,0,91.9,7.3,0.8,0.05,-0.26,-0.07,0.289514,0.0183430253530876,-2.6127613856108383,0.151877133105802,0.167235494880546,2385.24,119.26,30.0,40.0,30.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.848,0.6292,0.204,0.6666,0.6729,0.5959,0.848,0.5518,0.7615,0.5901,1.0,14.178480741491242,0.0,0.83,55.49742866946105,10.271963157551594,3.9189909728405743,0.9825619834710744,0.0082265900660386,0.1074380165289256,0.0909090909090909
Er-RT,1.1732090711593628,-0.159742847084999,48876.1268,0.0845070422535211,28.218333333333337,9.584530830383295,0.3145539906103286,0.272300469483568,0.3544600938967136,-0.4460093896713615,31,39,25,22,23,0.2112,0.1483,0.1127,0.1426,0.136,0.04771,0.01169,0.002161,0.0001397,0,0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3638,-0.446,3.1923,,,,,,,,,,,,,,,,,,,,0,0.0,100.0,0.0,,,,0.887788,0.071069550468345,-2.820614300231345,0.136150234741784,0.1619718309859155,2093.95,104.7,15.0,65.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9872,0.8957,0.921,0.6857,0.6894,0.5786,0.8197,0.6233,0.9872,0.7271,1.0,19.57781093318104,0.0213636363636363,0.845,30.03040327976057,11.371189380605571,3.9359618621260206,0.8242148760330578,0.230887589786569,0.140495867768595,0.1487603305785124
FENV1-RT,3.67293643951416,-1.3009915351867676,74381.3548,0.0749625187406296,41.31409295352336,8.52421932220459,0.3463268365817091,0.2503748125937031,0.368815592203898,-0.3713643178410795,39,40,35,39,5,0.5517,0.6564,0.5848,0.8133,0.5344,0.8242,0.7641,0.1733,0.08203,2,0,1.0,6.1297,3.845,0.1886,349.0,14.0,877.0,0.523,0.021,1.315,19.0,0.0,14.0,0.792,0.583,0.3598,-0.3714,2.988,0.6,1.095,1.0,0.77,5.0,6.0,5.0,25.0,6.0,23.3,36.2,86.0,56.0,8.0,9.0,-1.0,0.889,0.651,0.0,0,90.8,8.9,0.3,-0.09,-0.37,-0.21,0.837728,0.0200004879336852,-2.2231776370807963,0.128935532233883,0.128935532233883,2426.83,121.34,25.0,45.0,30.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9794,0.8878,0.739,0.9754,0.9794,0.9578,0.7342,0.5828,0.66,0.544,1.0,4.068966045552662,0.0,0.79,69.78892454774822,12.051888089755805,3.9480878291643,0.975619834710744,0.0182545342914303,0.1652892561983471,0.1239669421487603
FoxC-RT,16.932540893554688,-2.829237222671509,61952.76639999999,0.1311787072243346,50.14317490494302,9.546043205261231,0.3517110266159696,0.2452471482889733,0.3745247148288973,-0.5013307984790875,37,48,13,48,24,0.6275,0.7279,0.6568,0.7672,0.6196,0.6796,0.6181,0.6071,0.3949,3,0,1.0,26.5813,3.7864,17.6936,191.0,10.0,828.0,0.363,0.019,1.574,9.0,0.0,11.0,0.391,0.478,0.3384,-0.5013,3.0837,0.5789,1.0316,1.0,0.677,8.0,5.0,7.0,13.0,1.0,12.6,56.4,92.0,69.0,17.0,7.0,10.0,2.429,0.091,1.0,0,84.5,14.5,1.1,-0.16,-1.57,-0.69,0.368092,0.0084424370976138,-3.0739858902467203,0.150190114068441,0.1787072243346007,2394.43,119.72,30.0,50.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.785,0.572,0.167,0.6369,0.6153,0.579,0.7462,0.4727,0.785,0.6137,0.0,,0.0127272727272727,0.875,30.301727389411557,11.197167063844113,3.940843565697173,0.7580165289256197,0.2582352477528697,0.140495867768595,0.1157024793388429
FuRT-Cas1-RT,8.801057815551758,-2.174871921539306,28275.1652,0.1041666666666666,44.68291666666666,6.279424095153809,0.3291666666666666,0.25,0.4041666666666667,-0.37125,15,18,15,20,-2,0.5879,0.5006,0.5124,0.629,0.6386,0.25,0.2387,0.1557,0.01713,2,0,0.0,,,,112.0,7.0,372.0,0.467,0.0292,1.55,0.0,0.0,0.0,0.0,0.0,0.3667,-0.3713,3.2801,,,1.0,0.659,7.0,5.0,6.0,8.0,1.0,19.7,49.0,45.0,39.0,4.0,4.0,0.0,1.0,0.2,0.0,0,95.5,4.0,0.4,0.11,-0.08,0.04,1.013978,-0.0395763884772763,-2.139621127499777,0.1708333333333333,0.1208333333333333,2251.22,112.56,15.0,65.0,20.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.9591,0.8716,0.315,0.7017,0.6888,0.7105,0.8485,0.674,0.9591,0.807,1.0,14.301251705614924,0.0431818181818181,0.835,7.166392635680706,10.34617638110882,3.933189384354002,0.9665289256198348,0.0187034872237408,0.1652892561983471,0.1322314049586777
GALV-RT,3.3656773567199707,-1.2136292457580566,75472.0701,0.0752212389380531,49.436283185840864,9.333555412292483,0.3466076696165192,0.2654867256637168,0.3687315634218289,-0.2970501474926253,44,40,27,40,17,0.6774,0.8036,0.792,0.9138,0.83,0.932,0.8963,0.4574,0.27,2,0,1.0,6.1537,3.8366,0.1635,363.0,20.0,899.0,0.535,0.0295,1.326,18.0,0.0,13.0,0.75,0.542,0.3702,-0.2971,3.0278,0.6,1.095,1.0,0.75,5.0,6.0,5.0,25.0,6.0,22.2,36.5,86.0,52.0,9.0,6.0,3.0,1.5,0.697,1.0,0,91.9,7.9,0.2,-0.06,-0.37,-0.19,0.495113,-0.0043717513441347,-2.659722670212874,0.1415929203539823,0.1327433628318584,2692.4,134.62,35.0,65.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.98,0.8638,0.709,0.9775,0.98,0.958,0.771,0.5934,0.6547,0.5284,1.0,5.063376061637918,0.0,0.765,67.20062879904071,12.23883056828471,3.94636178782024,0.9606611570247936,0.0306272567164358,0.1487603305785124,0.1074380165289256
Gate-RT,7.586501598358154,-2.0263705253601074,60357.64469999999,0.0994263862332696,49.878393881453206,9.344128227233888,0.2982791586998088,0.2447418738049713,0.3690248565965583,-0.3225621414913958,38,26,25,24,15,0.6693,0.7849,0.6093,0.711,0.6915,0.59,0.7767,0.7928,0.9083,3,0,1.0,5.565,3.7966,0.1466,261.0,20.0,744.0,0.499,0.0382,1.423,7.0,0.0,10.0,0.35,0.5,0.3824,-0.3226,3.1199,0.625,1.0562,1.0,0.765,5.0,8.0,5.0,16.0,5.0,18.4,44.6,71.0,52.0,5.0,2.0,3.0,2.5,0.192,1.0,0,93.5,6.199999999999999,0.4,0.04,-0.53,-0.18,-0.152451,-0.1976921831561702,-2.4445311807163583,0.1720841300191204,0.0936902485659655,2751.42,137.57,40.0,45.0,15.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.7963,0.5471,0.083,0.7896,0.7963,0.7584,0.5797,0.4887,0.4991,0.5086,1.0,25.3333270754678,0.0011570247933884,0.765,32.08352162507009,12.08869369663593,3.994750833653971,0.864710743801653,0.2049842598028788,0.140495867768595,0.1157024793388429
